"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","GCA_001614485.1_ASM161448v1_genomic","GCA_001683595.1_NGF2_genomic","GCA_001891695.1_ASM189169v1_genomic","GCA_001891995.1_ASM189199v1_genomic","GCA_001901445.1_ASM190144v1_genomic","GCA_001911775.1_ASM191177v1_genomic"
"pmrD","","Signal transduction protein PmrD","6","6","1","63","4728","","","","266","266","266","GCA_001614485_00771","GCA_001683595_01186","GCA_001891695_03936","GCA_001891995_00140","GCA_001901445_04151","GCA_001911775_01092"
"menE","","2-succinylbenzoate--CoA ligase","6","6","1","63","4729","","","","1355","1355","1355","GCA_001614485_00772","GCA_001683595_01187","GCA_001891695_03937","GCA_001891995_00139","GCA_001901445_04152","GCA_001911775_01093"
"menC","","o-succinylbenzoate synthase","6","6","1","63","4730","","","","962","962","962","GCA_001614485_00773","GCA_001683595_01188","GCA_001891695_03938","GCA_001891995_00138","GCA_001901445_04153","GCA_001911775_01094"
"acrR_2","","HTH-type transcriptional regulator AcrR","6","6","1","63","5303","","","","593","647","638","GCA_001614485_00800","GCA_001683595_01784","GCA_001891695_03235","GCA_001891995_02864","GCA_001901445_02386","GCA_001911775_03668"
"ybaN","","Inner membrane protein YbaN","6","6","1","63","5307","","","","377","377","377","GCA_001614485_00804","GCA_001683595_01788","GCA_001891695_03231","GCA_001891995_02868","GCA_001901445_02390","GCA_001911775_03672"
"adk","","Adenylate kinase","6","6","1","63","5313","","","","644","704","654","GCA_001614485_00810","GCA_001683595_01794","GCA_001891695_03225","GCA_001891995_02874","GCA_001901445_02396","GCA_001911775_03678"
"ybaL","","Inner membrane protein YbaL","6","6","1","63","5317","","","","1286","1703","1615","GCA_001614485_00814","GCA_001683595_01798","GCA_001891695_03221","GCA_001891995_02878","GCA_001901445_02400","GCA_001911775_03682"
"glcC_1","","Glc operon transcriptional activator","6","6","1","63","348","","","","782","791","789","GCA_001614485_00817","GCA_001683595_04143","GCA_001891695_03106","GCA_001891995_00416","GCA_001901445_00660","GCA_001911775_03188"
"yvgN","","Glyoxal reductase","6","6","1","63","3921","","","","854","854","854","GCA_001614485_00836","GCA_001683595_00656","GCA_001891695_02399","GCA_001891995_01476","GCA_001901445_03658","GCA_001911775_02325"
"yeaD","","Putative glucose-6-phosphate 1-epimerase","6","6","1","63","3920","","","","884","884","884","GCA_001614485_00837","GCA_001683595_00655","GCA_001891695_02398","GCA_001891995_01475","GCA_001901445_03657","GCA_001911775_02326"
"ansA","","L-asparaginase 1","6","6","1","63","3911","","","","968","1016","1008","GCA_001614485_00842","GCA_001683595_00642","GCA_001891695_02385","GCA_001891995_02927","GCA_001901445_03644","GCA_001911775_02339"
"topB","","DNA topoisomerase 3","6","6","1","63","3907","","","","1955","1961","1959","GCA_001614485_00846","GCA_001683595_00638","GCA_001891695_02381","GCA_001891995_02931","GCA_001901445_03640","GCA_001911775_02343"
"ynjF","","Inner membrane protein YnjF","6","6","1","63","3903","","","","620","620","620","GCA_001614485_00850","GCA_001683595_00634","GCA_001891695_02375","GCA_001891995_02937","GCA_001901445_03635","GCA_001911775_01495"
"ynjE","","Thiosulfate sulfurtransferase YnjE","6","6","1","63","3902","","","","377","1307","1152","GCA_001614485_00851","GCA_001683595_00633","GCA_001891695_02374","GCA_001891995_02938","GCA_001901445_03634","GCA_001911775_01496"
"group_1032","","hypothetical protein","6","6","1","63","6202","","","","599","599","599","GCA_001614485_00865","GCA_001683595_04683","GCA_001891695_04824","GCA_001891995_04818","GCA_001901445_01368","GCA_001911775_03363"
"fpr","","Ferredoxin--NADP reductase","6","6","1","63","6198","","","","746","746","746","GCA_001614485_00869","GCA_001683595_04687","GCA_001891695_04828","GCA_001891995_04814","GCA_001901445_01372","GCA_001911775_03367"
"glpX","","Fructose-1,6-bisphosphatase 1 class 2","6","6","1","63","6197","","","","1010","1121","1028","GCA_001614485_00870","GCA_001683595_04688","GCA_001891695_04829","GCA_001891995_04813","GCA_001901445_01373","GCA_001911775_03368"
"priA","","Primosomal protein N'","6","6","1","63","6187","","","","899","2198","1981","GCA_001614485_00880","GCA_001683595_04698","GCA_001891695_04839","GCA_001891995_04803","GCA_001901445_01383","GCA_001911775_03378"
"phnC","","Phosphate-import ATP-binding protein PhnC","6","6","1","63","899","","","","788","788","788","GCA_001614485_00883","GCA_001683595_02489","GCA_001891695_01213","GCA_001891995_02467","GCA_001901445_01561","GCA_001911775_02816"
"group_1037","","hypothetical protein","6","6","1","63","900","","","","443","443","443","GCA_001614485_00884","GCA_001683595_02490","GCA_001891695_01212","GCA_001891995_02466","GCA_001901445_01562","GCA_001911775_02815"
"group_1038","","hypothetical protein","6","6","1","63","901","","","","248","335","320","GCA_001614485_00885","GCA_001683595_02491","GCA_001891695_01211","GCA_001891995_02465","GCA_001901445_01563","GCA_001911775_02814"
"crfC","","Clamp-binding protein CrfC","6","6","1","63","902","","","","2228","2228","2228","GCA_001614485_00886","GCA_001683595_02492","GCA_001891695_01210","GCA_001891995_02464","GCA_001901445_01564","GCA_001911775_02813"
"eptA","","Phosphoethanolamine transferase EptA","6","6","1","63","908","","","","1643","1643","1643","GCA_001614485_00892","GCA_001683595_02498","GCA_001891695_01204","GCA_001891995_02458","GCA_001901445_01570","GCA_001911775_02807"
"lutB","","Lactate utilization protein B","6","6","1","63","2694","","","","1400","1427","1422","GCA_001614485_00900","GCA_001683595_01645","GCA_001891695_04949","GCA_001891995_01153","GCA_001901445_02233","GCA_001911775_02379"
"rclC","","Inner membrane protein RclC","6","6","1","63","2698","","","","593","593","593","GCA_001614485_00904","GCA_001683595_01641","GCA_001891695_04945","GCA_001891995_01149","GCA_001901445_02229","GCA_001911775_02383"
"ghoS","","Endoribonuclease GhoS","6","6","1","63","922","","","","296","296","296","GCA_001614485_00962","GCA_001683595_02511","GCA_001891695_01190","GCA_001891995_02444","GCA_001901445_01584","GCA_001911775_02793"
"group_1058","","hypothetical protein","6","6","1","63","920","","","","230","230","230","GCA_001614485_00964","GCA_001683595_02509","GCA_001891695_01192","GCA_001891995_02446","GCA_001901445_01582","GCA_001911775_02795"
"fumB","","Fumarate hydratase class I, anaerobic","6","6","1","63","916","","","","1646","1724","1659","GCA_001614485_00968","GCA_001683595_02505","GCA_001891695_01196","GCA_001891995_02450","GCA_001901445_01578","GCA_001911775_02799"
"group_1061","","hypothetical protein","6","6","1","63","1559","","","","209","209","209","GCA_001614485_00979","GCA_001683595_04277","GCA_001891695_04308","GCA_001891995_00850","GCA_001901445_01033","GCA_001911775_03985"
"lldR_2","","Putative L-lactate dehydrogenase operon regulatory protein","6","6","1","63","1567","","","","776","776","776","GCA_001614485_00984","GCA_001683595_04282","GCA_001891695_04303","GCA_001891995_00855","GCA_001901445_01041","GCA_001911775_03990"
"gpsA","","Glycerol-3-phosphate dehydrogenase [NAD(P) ]","6","6","1","63","1571","","","","209","1019","884","GCA_001614485_00988","GCA_001683595_04286","GCA_001891695_04299","GCA_001891995_00859","GCA_001901445_01045","GCA_001911775_03994"
"fadD","","Long-chain-fatty-acid--CoA ligase","6","6","1","63","4014","","","","536","1751","1548","GCA_001614485_00989","GCA_001683595_00674","GCA_001891695_02422","GCA_001891995_01501","GCA_001901445_03683","GCA_001911775_02301"
"group_1066","","hypothetical protein","6","6","1","63","3932","","","","254","254","254","GCA_001614485_01001","GCA_001683595_00667","GCA_001891695_02410","GCA_001891995_01488","GCA_001901445_03669","GCA_001911775_02314"
"group_1067","","hypothetical protein","6","6","1","63","3931","","","","347","347","347","GCA_001614485_01002","GCA_001683595_00666","GCA_001891695_02409","GCA_001891995_01487","GCA_001901445_03668","GCA_001911775_02315"
"proS_2","","Proline--tRNA ligase","6","6","1","63","3927","","","","503","503","503","GCA_001614485_01006","GCA_001683595_00662","GCA_001891695_02405","GCA_001891995_01483","GCA_001901445_03664","GCA_001911775_02319"
"pyrE_1","","Orotate phosphoribosyltransferase","6","6","1","63","1309","","","","683","683","683","GCA_001614485_01018","GCA_001683595_04502","GCA_001891695_00716","GCA_001891995_04041","GCA_001901445_00830","GCA_001911775_00706"
"bioH","","Pimeloyl-[acyl-carrier protein] methyl ester esterase","6","6","1","63","1308","","","","770","770","770","GCA_001614485_01019","GCA_001683595_04501","GCA_001891695_00715","GCA_001891995_04042","GCA_001901445_00829","GCA_001911775_00705"
"feoC","","putative [Fe-S]-dependent transcriptional repressor FeoC","6","6","1","63","1304","","","","236","236","236","GCA_001614485_01022","GCA_001683595_04499","GCA_001891695_00713","GCA_001891995_04045","GCA_001901445_00827","GCA_001911775_00703"
"pabB","","Aminodeoxychorismate synthase component 1","6","6","1","63","4007","","","","1361","1361","1361","GCA_001614485_01054","GCA_001683595_00681","GCA_001891695_02429","GCA_001891995_01508","GCA_001901445_03690","GCA_001911775_02294"
"manZ_1","","PTS system mannose-specific EIID component","6","6","1","63","3999","","","","851","851","851","GCA_001614485_01061","GCA_001683595_00688","GCA_001891695_02437","GCA_001891995_01516","GCA_001901445_03698","GCA_001911775_02286"
"group_1075","","hypothetical protein","6","6","1","63","3993","","","","287","287","287","GCA_001614485_01067","GCA_001683595_00693","GCA_001891695_02442","GCA_001891995_01521","GCA_001901445_03703","GCA_001911775_02280"
"tag","","DNA-3-methyladenine glycosylase 1","6","6","1","63","1500","","","","563","563","563","GCA_001614485_01075","GCA_001683595_04230","GCA_001891695_00858","GCA_001891995_02714","GCA_001901445_00976","GCA_001911775_03707"
"yiaA","","Inner membrane protein YiaA","6","6","1","63","1514","","","","437","437","437","GCA_001614485_01088","GCA_001683595_04243","GCA_001891695_04345","GCA_001891995_02727","GCA_001901445_00989","GCA_001911775_03720"
"yiaB","","Inner membrane protein YiaB","6","6","1","63","1515","","","","341","341","341","GCA_001614485_01089","GCA_001683595_04244","GCA_001891695_04344","GCA_001891995_02728","GCA_001901445_00990","GCA_001911775_03721"
"xylB","","Xylulose kinase","6","6","1","63","1516","","","","1454","1454","1454","GCA_001614485_01090","GCA_001683595_04245","GCA_001891695_04343","GCA_001891995_02729","GCA_001901445_00991","GCA_001911775_03722"
"evgS","","Sensor protein EvgS","6","6","1","63","5180","","","","3593","3593","3593","GCA_001614485_01103","GCA_001683595_01277","GCA_001891695_04089","GCA_001891995_04548","GCA_001901445_04300","GCA_001911775_01234"
"emrK_2","","putative multidrug resistance protein EmrK","6","6","1","63","5182","","","","1163","1163","1163","GCA_001614485_01105","GCA_001683595_01275","GCA_001891695_04087","GCA_001891995_04546","GCA_001901445_04298","GCA_001911775_01232"
"dsdX","","DsdX permease","6","6","1","63","5185","","","","218","1337","404","GCA_001614485_01108","GCA_001683595_01272","GCA_001891695_04084","GCA_001891995_04543","GCA_001901445_04295","GCA_001911775_01229"
"rhtA","","Threonine/homoserine exporter RhtA","6","6","1","63","5636","","","","386","887","803","GCA_001614485_01110","GCA_001683595_02082","GCA_001891695_02823","GCA_001891995_03349","GCA_001901445_02712","GCA_001911775_00116"
"group_1084","","PKHD-type hydroxylase","6","6","1","63","5784","","","","674","674","674","GCA_001614485_01120","GCA_001683595_02073","GCA_001891695_02814","GCA_001891995_03340","GCA_001901445_02703","GCA_001911775_00107"
"ybiC","","putative oxidoreductase YbiC","6","6","1","63","5788","","","","1085","1085","1085","GCA_001614485_01123","GCA_001683595_02070","GCA_001891695_02811","GCA_001891995_03337","GCA_001901445_02700","GCA_001911775_04598"
"dinG_2","","putative ATP-dependent helicase DinG","6","6","1","63","5791","","","","2150","2285","2240","GCA_001614485_01125","GCA_001683595_02068","GCA_001891695_02809","GCA_001891995_03335","GCA_001901445_02698","GCA_001911775_04596"
"ybbJ","","Inner membrane protein YbbJ","6","6","1","63","5336","","","","458","458","458","GCA_001614485_01169","GCA_001683595_01812","GCA_001891695_03211","GCA_001891995_02888","GCA_001901445_02410","GCA_001911775_03692"
"glsA1","","Glutaminase 1","6","6","1","63","5327","","","","932","932","932","GCA_001614485_01176","GCA_001683595_01807","GCA_001891695_03214","GCA_001891995_02885","GCA_001901445_02407","GCA_001911775_03689"
"ybaQ","","putative HTH-type transcriptional regulator YbaQ","6","6","1","63","5325","","","","341","395","377","GCA_001614485_01178","GCA_001683595_01805","GCA_001891695_03216","GCA_001891995_02883","GCA_001901445_02405","GCA_001911775_03687"
"group_1092","","hypothetical protein","6","6","1","63","5324","","","","794","794","794","GCA_001614485_01180","GCA_001683595_01804","GCA_001891695_03217","GCA_001891995_02882","GCA_001901445_02404","GCA_001911775_03686"
"mggB","","Mannosylglucosyl-3-phosphoglycerate phosphatase","6","6","1","63","5320","","","","1487","1652","1624","GCA_001614485_01182","GCA_001683595_01800","GCA_001891695_03219","GCA_001891995_02880","GCA_001901445_02402","GCA_001911775_03684"
"group_1096","","hypothetical protein","6","6","1","63","5246","","","","914","971","961","GCA_001614485_01205","GCA_001683595_01730","GCA_001891695_03289","GCA_001891995_02807","GCA_001901445_02329","GCA_001911775_03611"
"yajI","","putative lipoprotein YajI","6","6","1","63","5249","","","","539","539","539","GCA_001614485_01208","GCA_001683595_01733","GCA_001891695_03286","GCA_001891995_02810","GCA_001901445_02332","GCA_001911775_03614"
"ribD","","Riboflavin biosynthesis protein RibD","6","6","1","63","5251","","","","1103","1103","1103","GCA_001614485_01210","GCA_001683595_01735","GCA_001891695_03284","GCA_001891995_02812","GCA_001901445_02334","GCA_001911775_03616"
"cyoD","","Cytochrome bo(3) ubiquinol oxidase subunit 4","6","6","1","63","5269","","","","329","329","329","GCA_001614485_01225","GCA_001683595_01750","GCA_001891695_03269","GCA_001891995_02830","GCA_001901445_02352","GCA_001911775_03634"
"group_1109","gsiA_2","Glutathione import ATP-binding protein GsiA","6","6","1","63","5651","","","","1811","1871","1861","GCA_001614485_01309","GCA_001683595_02097","GCA_001891695_02842","GCA_001891995_02159","GCA_001901445_02729","GCA_001911775_01806"
"group_1110","","hypothetical protein","6","6","1","63","5666","","","","272","278","277","GCA_001614485_01326","GCA_001683595_02111","GCA_001891695_02856","GCA_001891995_02145","GCA_001901445_02743","GCA_001911775_01792"
"group_1111","","hypothetical protein","6","6","1","63","1275","","","","905","905","905","GCA_001614485_01339","GCA_001683595_04472","GCA_001891695_00684","GCA_001891995_04074","GCA_001901445_00800","GCA_001911775_00676"
"group_1112","","hypothetical protein","6","6","1","63","1284","","","Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits","404","404","404","GCA_001614485_01348","GCA_001683595_04481","GCA_001891695_00693","GCA_001891995_04065","GCA_001901445_00809","GCA_001911775_00685"
"hslR","","Heat shock protein 15","6","6","1","63","1294","","","","401","401","401","GCA_001614485_01356","GCA_001683595_04489","GCA_001891695_00701","GCA_001891995_04057","GCA_001901445_00817","GCA_001911775_00693"
"ompR","","Transcriptional regulatory protein OmpR","6","6","1","63","1299","","","","164","719","626","GCA_001614485_01363","GCA_001683595_04494","GCA_001891695_00708","GCA_001891995_04050","GCA_001901445_00822","GCA_001911775_00698"
"group_1116","acrB_1","Multidrug efflux pump subunit AcrB","6","6","1","63","5301","","","","1523","3149","2878","GCA_001614485_01364","GCA_001683595_01782","GCA_001891695_03237","GCA_001891995_02862","GCA_001901445_02384","GCA_001911775_03666"
"fadM","","Long-chain acyl-CoA thioesterase FadM","6","6","1","63","5283","","","","398","398","398","GCA_001614485_01382","GCA_001683595_01764","GCA_001891695_03255","GCA_001891995_02844","GCA_001901445_02366","GCA_001911775_03648"
"comEA","","ComE operon protein 1","6","6","1","63","5282","","","","371","371","371","GCA_001614485_01383","GCA_001683595_01763","GCA_001891695_03256","GCA_001891995_02843","GCA_001901445_02365","GCA_001911775_03647"
"dosP","","Oxygen sensor protein DosP","6","6","1","63","6627","","","","1328","2399","2220","GCA_001614485_01390","GCA_001683595_00309","GCA_001891695_04175","GCA_001891995_02400","GCA_001901445_03391","GCA_001911775_00392"
"flr","","Flavoredoxin","6","6","1","63","6597","","","","569","569","569","GCA_001614485_01409","GCA_001683595_00330","GCA_001891695_04148","GCA_001891995_02427","GCA_001901445_03364","GCA_001911775_00358"
"pliG","","Inhibitor of g-type lysozyme","6","6","1","63","6998","","","","401","401","401","GCA_001614485_01427","GCA_001683595_03254","GCA_001891695_01583","GCA_001891995_04335","GCA_001901445_03106","GCA_001911775_04629"
"ycgL","","Protein YcgL","6","6","1","63","7000","","","","293","293","293","GCA_001614485_01428","GCA_001683595_03255","GCA_001891695_01582","GCA_001891995_04337","GCA_001901445_03107","GCA_001911775_04630"
"group_1125","","hypothetical protein","6","6","1","63","7002","","","","446","569","507","GCA_001614485_01430","GCA_001683595_03257","GCA_001891695_01580","GCA_001891995_04339","GCA_001901445_03109","GCA_001911775_04632"
"ldcA","","Murein tetrapeptide carboxypeptidase","6","6","1","63","7012","","","","914","914","914","GCA_001614485_01440","GCA_001683595_03267","GCA_001891695_01568","GCA_001891995_04352","GCA_001901445_03122","GCA_001911775_04644"
"xylG","","Xylose import ATP-binding protein XylG","6","6","1","63","1519","","","","326","1541","1338","GCA_001614485_01449","GCA_001683595_04248","GCA_001891695_04340","GCA_001891995_02732","GCA_001901445_00994","GCA_001911775_03725"
"hyfA_4","","Hydrogenase-4 component A","6","6","1","63","1525","","","","467","473","472","GCA_001614485_01455","GCA_001683595_04254","GCA_001891695_04334","GCA_001891995_02738","GCA_001901445_01000","GCA_001911775_03731"
"yiaO","","2,3-diketo-L-gulonate-binding periplasmic protein YiaO","6","6","1","63","1533","","","","986","986","986","GCA_001614485_01461","GCA_001683595_04261","GCA_001891695_04328","GCA_001891995_02744","GCA_001901445_01006","GCA_001911775_03737"
"sgbE","","L-ribulose-5-phosphate 4-epimerase SgbE","6","6","1","63","1537","","","","695","695","695","GCA_001614485_01465","GCA_001683595_04265","GCA_001891695_04324","GCA_001891995_02748","GCA_001901445_01010","GCA_001911775_03741"
"selB","","Selenocysteine-specific elongation factor","6","6","1","63","1549","","","","821","1844","1673","GCA_001614485_01475","GCA_001683595_04269","GCA_001891695_04316","GCA_001891995_02756","GCA_001901445_01018","GCA_001911775_03749"
"group_1146","","hypothetical protein","6","6","1","63","5901","","","","107","107","107","GCA_001614485_01544","GCA_001683595_01992","GCA_001891695_02730","GCA_001891995_03253","GCA_001901445_02617","GCA_001911775_03798"
"thiF","","Sulfur carrier protein ThiS adenylyltransferase","6","6","1","63","752","","","","755","755","755","GCA_001614485_01561","GCA_001683595_00379","GCA_001891695_05088","GCA_001891995_02095","GCA_001901445_01443","GCA_001911775_04289"
"zraP","","Zinc resistance-associated protein","6","6","1","63","762","","","","419","425","424","GCA_001614485_01571","GCA_001683595_00369","GCA_001891695_05078","GCA_001891995_02085","GCA_001901445_01453","GCA_001911775_04279"
"epmB","","L-lysine 2,3-aminomutase","6","6","1","63","701","","","","1028","1028","1028","GCA_001614485_01590","GCA_001683595_02610","GCA_001891695_00869","GCA_001891995_03428","GCA_001901445_01604","GCA_001911775_00317"
"rsgA","","Small ribosomal subunit biogenesis GTPase RsgA","6","6","1","63","3767","","","","245","1052","917","GCA_001614485_01607","GCA_001683595_02625","GCA_001891695_00884","GCA_001891995_03443","GCA_001901445_01621","GCA_001911775_00302"
"group_1155","","hypothetical protein","6","6","1","63","6762","","","","356","356","356","GCA_001614485_01611","GCA_001683595_00566","GCA_001891695_02305","GCA_001891995_03197","GCA_001901445_03565","GCA_001911775_01567"
"ydhX_1","","putative ferredoxin-like protein YdhX","6","6","1","63","6780","","","","668","668","668","GCA_001614485_01629","GCA_001683595_00548","GCA_001891695_02287","GCA_001891995_03179","GCA_001901445_03547","GCA_001911775_01585"
"group_1157","","hypothetical protein","6","6","1","63","6783","","","","1604","1610","1605","GCA_001614485_01632","GCA_001683595_00545","GCA_001891695_02284","GCA_001891995_03176","GCA_001901445_03544","GCA_001911775_01588"
"group_1158","","hypothetical protein","6","6","1","63","4984","","","","200","200","200","GCA_001614485_01641","GCA_001683595_01412","GCA_001891695_01864","GCA_001891995_04696","GCA_001901445_04450","GCA_001911775_00212"
"group_1159","","hypothetical protein","6","6","1","63","4974","","","","854","854","854","GCA_001614485_01651","GCA_001683595_01422","GCA_001891695_01854","GCA_001891995_04706","GCA_001901445_04460","GCA_001911775_00222"
"yphA","","Inner membrane protein YphA","6","6","1","63","4965","","","","422","422","422","GCA_001614485_01660","GCA_001683595_01425","GCA_001891695_01845","GCA_001891995_04715","GCA_001901445_04469","GCA_001911775_00231"
"dsrF","","Intracellular sulfur oxidation protein DsrF","6","6","1","63","1236","","","","359","359","359","GCA_001614485_01674","GCA_001683595_04438","GCA_001891695_00645","GCA_001891995_04113","GCA_001901445_00761","GCA_001911775_00642"
"tusD","","Sulfurtransferase TusD","6","6","1","63","1237","","","","386","386","386","GCA_001614485_01675","GCA_001683595_04439","GCA_001891695_00646","GCA_001891995_04112","GCA_001901445_00762","GCA_001911775_00643"
"group_1165","","hypothetical protein","6","6","1","63","1246","","","","1022","1022","1022","GCA_001614485_01684","GCA_001683595_04448","GCA_001891695_00655","GCA_001891995_04103","GCA_001901445_00771","GCA_001911775_00652"
"pabA","","Aminodeoxychorismate synthase component 2","6","6","1","63","1253","","","","563","563","563","GCA_001614485_01691","GCA_001683595_04455","GCA_001891695_00662","GCA_001891995_04096","GCA_001901445_00778","GCA_001911775_00659"
"group_1167","","hypothetical protein","6","6","1","63","1268","","","","1085","1085","1085","GCA_001614485_01701","GCA_001683595_04465","GCA_001891695_00677","GCA_001891995_04081","GCA_001901445_00793","GCA_001911775_00669"
"php_1","","Phosphotriesterase homology protein","6","6","1","63","1271","","","","878","878","878","GCA_001614485_01704","GCA_001683595_04468","GCA_001891695_00680","GCA_001891995_04078","GCA_001901445_00796","GCA_001911775_00672"
"sorB","","PTS system sorbose-specific EIIB component","6","6","1","63","428","","","","476","476","476","GCA_001614485_01706","GCA_001683595_04066","GCA_001891695_03023","GCA_001891995_01368","GCA_001901445_00576","GCA_001911775_03270"
"group_1170","","hypothetical protein","6","6","1","63","416","","","","443","443","443","GCA_001614485_01718","GCA_001683595_04078","GCA_001891695_03039","GCA_001891995_01384","GCA_001901445_00592","GCA_001911775_03254"
"group_1174","","hypothetical protein","6","6","1","63","6564","","","","890","890","890","GCA_001614485_01768","GCA_001683595_01852","GCA_001891695_04478","GCA_001891995_01632","GCA_001901445_02458","GCA_001911775_02962"
"ybcI","","Inner membrane protein YbcI","6","6","1","63","5377","","","","521","521","521","GCA_001614485_01775","GCA_001683595_01845","GCA_001891695_03179","GCA_001891995_01643","GCA_001901445_02447","GCA_001911775_02536"
"purE","","N5-carboxyaminoimidazole ribonucleotide mutase","6","6","1","63","5373","","","","509","629","529","GCA_001614485_01779","GCA_001683595_01840","GCA_001891695_03183","GCA_001891995_01647","GCA_001901445_02443","GCA_001911775_02540"
"group_1177","","hypothetical protein","6","6","1","63","5367","","","","1667","1667","1667","GCA_001614485_01784","GCA_001683595_01835","GCA_001891695_03188","GCA_001891995_01652","GCA_001901445_02438","GCA_001911775_02545"
"glxK","","Glycerate 3-kinase","6","6","1","63","5363","","","","1145","1145","1145","GCA_001614485_01788","GCA_001683595_01831","GCA_001891695_03192","GCA_001891995_01656","GCA_001901445_02434","GCA_001911775_02549"
"ybbW","","Putative allantoin permease","6","6","1","63","5360","","","","1454","1454","1454","GCA_001614485_01791","GCA_001683595_01828","GCA_001891695_03195","GCA_001891995_01659","GCA_001901445_02431","GCA_001911775_02552"
"allR","","HTH-type transcriptional repressor AllR","6","6","1","63","5356","","","","815","815","815","GCA_001614485_01795","GCA_001683595_01824","GCA_001891695_03199","GCA_001891995_01663","GCA_001901445_02427","GCA_001911775_02556"
"betT","","High-affinity choline transport protein","6","6","1","63","2686","","","","431","2033","1766","GCA_001614485_01798","GCA_001683595_01657","GCA_001891695_04955","GCA_001891995_01165","GCA_001901445_02239","GCA_001911775_02373"
"sucD_1","","Succinate--CoA ligase [ADP-forming] subunit alpha","6","6","1","63","2679","","","","1547","1547","1547","GCA_001614485_01805","GCA_001683595_01663","GCA_001891695_04961","GCA_001891995_01171","GCA_001901445_02245","GCA_001911775_02366"
"arcC2","","Carbamate kinase 2","6","6","1","63","2676","","","","950","950","950","GCA_001614485_01807","GCA_001683595_01666","GCA_001891695_04963","GCA_001891995_01173","GCA_001901445_02247","GCA_001911775_02364"
"yahK","","Aldehyde reductase YahK","6","6","1","63","2674","","","","1049","1049","1049","GCA_001614485_01814","GCA_001683595_01668","GCA_001891695_04965","GCA_001891995_01180","GCA_001901445_02255","GCA_001911775_02357"
"prpR","","Propionate catabolism operon regulatory protein","6","6","1","63","2670","","","","1586","1586","1586","GCA_001614485_01818","GCA_001683595_01672","GCA_001891695_04970","GCA_001891995_01185","GCA_001901445_02260","GCA_001911775_02352"
"acs_1","","Acetyl-coenzyme A synthetase","6","6","1","63","2666","","","","1211","1886","1773","GCA_001614485_01822","GCA_001683595_01676","GCA_001891695_04974","GCA_001891995_01189","GCA_001901445_02264","GCA_001911775_02348"
